timestamp,action,price,position_size,reason,decision_source,cash_before,btc_before,portfolio_value_before,rsi,atr,trend,trade_amount,btc_traded,type,cash_after,btc_after,portfolio_value_after,realized_profit,profit
2025-08-18,SELL,117290.19,8.0,Strong downtrend confirmation,RULES,38139.196642535506,0.5649478179784257,104382.26037968123,30.209503169996097,355.97714285714443,BEARISH,5301.026952861997,0.04519582543827406,SELL,43440.2235953975,0.5197519925401517,104402.03355331048,13618.304877194376,2249.8912214591574
2025-08-19,SELL,116563.13,10.0,Bearish momentum building,RULES,43440.2235953975,0.5197519925401517,104402.03355331048,66.23167860941925,603.4914285714278,BEARISH,6058.391907421674,0.05197519925401517,SELL,49498.61550281918,0.4677767932861365,104024.14266961423,15332.674425076299,1714.369547881923
2025-08-22,SELL,112630.87,8.0,Strong downtrend confirmation,RULES,49498.61550281918,0.4677767932861365,102961.82624982935,38.58118993389229,574.278571428571,BEARISH,4214.888575490218,0.037422143462890925,SELL,53713.504078309394,0.4303546498232456,102184.7226964469,15587.673760340982,254.99933526468308
2025-08-23,BUY,116870.22,20.0,short,AI,53713.504078309394,0.4303546498232456,102184.7226964469,82.4905353840251,853.4857142857135,BEARISH,10742.70081566188,0.09191991608864841,BUY,42970.80326264752,0.522274565911894,104009.14668117507,15587.673760340982,
2025-08-30,SELL,108300.71,8.0,Strong downtrend confirmation,RULES,42970.80326264752,0.522274565911894,101570.50049605398,34.899061730491724,761.0821428571455,BEARISH,4525.016504255994,0.04178196527295152,SELL,47495.819766903514,0.4804926006389425,99533.50956584745,16675.026003585175,1087.3522432441926
2025-08-31,BUY,109389.08,20.0,short,AI,47495.819766903514,0.4804926006389425,99533.50956584745,72.7597990329762,297.7671428571422,BEARISH,9499.163953380703,0.08683832018132617,BUY,37996.65581352281,0.5673309208202687,100056.46329760485,16675.026003585175,
2025-09-01,SELL,108222.37,10.0,Bearish momentum building,RULES,37996.65581352281,0.5673309208202687,100056.46329760485,42.92789322973359,355.6528571428581,BEARISH,6139.789682545182,0.05673309208202687,SELL,44136.445496067994,0.5105978287382418,99394.55263897462,19015.150104778077,2340.124101192901
2025-09-04,BUY,112065.61,10.0,Bullish momentum with room to grow,RULES,44136.445496067994,0.5105978287382418,100986.39753582726,58.244542654345786,594.8585714285717,BULLISH,4413.6445496068,0.03938446905885579,BUY,39722.8009464612,0.5499822977970976,101356.90263829459,19015.150104778077,
2025-09-08,BUY,110837.96,10.0,Bullish momentum with room to grow,RULES,39722.8009464612,0.5499822977970976,100417.05988888105,41.29090614537213,291.509285714285,BULLISH,3972.28009464612,0.03583862509420166,BUY,35750.520851815076,0.5858209228912993,100681.716870404,19015.150104778077,
2025-09-09,BUY,111650.03,10.0,Bullish momentum with room to grow,RULES,35750.520851815076,0.5858209228912993,100681.716870404,43.67472273170853,425.08071428571566,BULLISH,3575.0520851815077,0.03202016233387047,BUY,32175.468766633567,0.6178410852251698,101157.44446725633,19015.150104778077,
2025-09-13,BUY,116209.32,8.0,Strong uptrend confirmation,RULES,32175.468766633567,0.6178410852251698,103746.60638946605,69.35116487878634,454.9864285714274,BULLISH,2574.0375013306852,0.02215000915013258,BUY,29601.431265302883,0.6399910943753023,103974.3611487126,19015.150104778077,
2025-09-14,BUY,115935.6,10.0,Bullish momentum with room to grow,RULES,29601.431265302883,0.6399910943753023,103974.3611487126,49.91910863811441,260.72142857143,BULLISH,2960.1431265302886,0.025532650251780198,BUY,26641.288138772594,0.6655237446270825,103799.18278636018,19015.150104778077,
2025-09-19,BUY,117424.2,10.0,Bullish momentum with room to grow,RULES,26641.288138772594,0.6655237446270825,104075.40841656765,55.07334459151468,395.1757142857147,BULLISH,2664.1288138772597,0.02268807293451656,BUY,23977.159324895336,0.6882118175615991,104789.88143261205,19015.150104778077,
2025-09-23,SELL,112395.32,10.0,Bearish momentum building,RULES,23977.159324895336,0.6882118175615991,102713.60143597412,43.64246304092908,478.1207142857155,BEARISH,7735.178746261755,0.06882118175615991,SELL,31712.33807115709,0.6193906358054392,101328.94678751289,24352.612918550298,5337.462813772222
2025-09-24,SELL,112230.72,8.0,Strong downtrend confirmation,RULES,31712.33807115709,0.6193906358054392,101328.94678751289,36.369776557344196,468.13071428571646,BEARISH,5561.172561416178,0.04955125086443513,SELL,37273.51063257327,0.5698393849410041,101226.99508885932,27376.798434273907,3024.1855157236105
2025-09-27,SELL,109649.29,10.0,Bearish momentum building,RULES,37273.51063257327,0.5698393849410041,99655.04185995492,59.72692548738427,534.6585714285704,BEARISH,6248.248397281779,0.05698393849410041,SELL,43521.75902985505,0.5128554464469036,99755.99460539105,29897.69576829836,2520.8973340244515
2025-09-29,BUY,112260.57,20.0,short,AI,43521.75902985505,0.5128554464469036,99734.72136147243,97.61193734998473,391.35714285714283,BEARISH,8704.35180597101,0.07753703554125023,BUY,34817.40722388404,0.5903924819881539,101095.20377558892,29897.69576829836,
2025-09-30,BUY,114525.97,20.0,short,AI,34817.40722388404,0.5903924819881539,101095.20377558892,83.32945642030452,528.9757142857125,BEARISH,6963.481444776808,0.06080264104968338,BUY,27853.92577910723,0.6511951230378372,102432.67890428488,29897.69576829836,
2025-10-01,BUY,114239.53,8.0,Strong uptrend confirmation,RULES,27853.92577910723,0.6511951230378372,102432.67890428488,65.2974543763803,550.645000000003,BULLISH,2228.3140623285785,0.01950563051448635,BUY,25625.61171677865,0.6707007535523236,102246.15057324193,29897.69576829836,
2025-10-03,BUY,120132.8,8.0,Strong uptrend confirmation,RULES,25625.61171677865,0.6707007535523236,105055.66908081988,63.38652890076255,678.6164285714268,BULLISH,2050.048937342292,0.017064856037171297,BUY,23575.562779436357,0.687765609589495,106198.77120312923,29897.69576829836,
2025-10-04,BUY,122100.0,8.0,Strong uptrend confirmation,RULES,23575.562779436357,0.687765609589495,106198.77120312923,69.55716151583339,798.0821428571455,BULLISH,1886.0450223549087,0.015446724179810882,BUY,21689.51775708145,0.7032123337693058,107551.74371031369,29897.69576829836,
2025-10-05,BUY,122157.7,10.0,Bullish momentum with room to grow,RULES,21689.51775708145,0.7032123337693058,107551.74371031369,50.538353635463665,320.13142857142935,BULLISH,2168.951775708145,0.01775534228057785,BUY,19520.565981373304,0.7209676760498837,107592.31906197217,29897.69576829836,
2025-10-06,BUY,123347.29,10.0,Bullish momentum with room to grow,RULES,19520.565981373304,0.7209676760498837,107592.31906197217,54.6804543242308,571.3735714285701,BULLISH,1952.0565981373304,0.0158256950609724,BUY,17568.509383235974,0.7367933711108561,108449.97499972435,29897.69576829836,
2025-10-07,BUY,124900.93,10.0,Bullish momentum with room to grow,RULES,17568.509383235974,0.7367933711108561,108449.97499972435,59.27875576824466,706.3721428571423,BULLISH,1756.8509383235976,0.014065955620375267,BUY,15811.658444912377,0.7508593267312313,109594.68665281702,29897.69576829836,
2025-10-09,BUY,122839.15,10.0,Bullish momentum with room to grow,RULES,15811.658444912377,0.7508593267312313,107351.98998136312,49.01272851016635,736.3714285714294,BULLISH,1581.1658444912377,0.012871839674006519,BUY,14230.49260042114,0.7637311664052379,108046.57991014911,29897.69576829836,
2025-10-15,BUY,112993.86,20.0,short,AI,14230.49260042114,0.7637311664052379,102028.28667113588,71.68116175346044,992.6242857142861,BEARISH,2846.098520084228,0.025188081193829717,BUY,11384.394080336911,0.7889192475990676,100527.42509485129,29897.69576829836,
2025-10-24,BUY,110500.28,8.0,Strong uptrend confirmation,RULES,11384.394080336911,0.7889192475990676,96465.62701343265,60.51949081968513,762.3285714285719,BULLISH,910.751526426953,0.008242074376888031,BUY,10473.642553909958,0.7971613219759557,98560.19183742322,29897.69576829836,
